"ACCESS-CM2.nc_piControl","date"
21.0080466543987,08/01/55
20.9487291539471,09/01/55
19.498350710776,10/01/55
17.7780124688889,11/01/55
16.1032949405473,12/01/55
15.0706946547822,01/01/56
14.471559100239,02/01/56
14.3768833716475,03/01/56
14.8666785550801,04/01/56
16.0642112172065,05/01/56
17.8560579974818,06/01/56
19.9594287326907,07/01/56
21.3829913638324,08/01/56
20.8892137431021,09/01/56
19.5085951342426,10/01/56
17.6509460667202,11/01/56
16.0951969142183,12/01/56
14.9774276473046,01/01/57
14.4254313307941,02/01/57
14.2649459359927,03/01/57
14.6530535037921,04/01/57
15.6129465551638,05/01/57
17.2469684422362,06/01/57
19.2315043938743,07/01/57
20.4892964204945,08/01/57
20.3399996260113,09/01/57
19.1914716477958,10/01/57
17.5322528050501,11/01/57
16.0669314113109,12/01/57
14.9360098588739,01/01/58
14.4186953288583,02/01/58
14.2931749846206,03/01/58
14.6066044741261,04/01/58
15.553246670246,05/01/58
17.1627914359974,06/01/58
19.317227458044,07/01/58
20.5000168421359,08/01/58
20.4369003872555,09/01/58
19.246636334,10/01/58
17.5416382952069,11/01/58
16.0007693170215,12/01/58
14.9269122584045,01/01/59
14.3052523645017,02/01/59
14.1344870831581,03/01/59
14.4550757085623,04/01/59
15.3453702716025,05/01/59
17.0126878014798,06/01/59
18.961332918043,07/01/59
20.3363649911745,08/01/59
20.3499058286554,09/01/59
19.1307758231522,10/01/59
17.5165609448132,11/01/59
15.9675649751159,12/01/59
14.8973478377568,01/01/60
14.3534387544655,02/01/60
14.2236959914348,03/01/60
14.621858662742,04/01/60
15.7395601973841,05/01/60
17.5808643113848,06/01/60
19.8246400806327,07/01/60
21.1000855601533,08/01/60
20.985704806704,09/01/60
19.5208663495674,10/01/60
17.6816488300645,11/01/60
15.9560903573845,12/01/60
14.8127578298625,01/01/61
14.1285776352024,02/01/61
14.00942478529,03/01/61
14.4137177227713,04/01/61
15.4406194667595,05/01/61
17.091100516078,06/01/61
19.0805558130362,07/01/61
20.5640776941354,08/01/61
20.566046555628,09/01/61
19.3543447428354,10/01/61
17.7156009803011,11/01/61
16.2971806052398,12/01/61
15.1130888892605,01/01/62
